BASE	EXPONENT	MODULUS	SELF(ms)	GMP(ms)	DIFFERENCE
13638946031581181917141395434060663592253666933390285161154062949979353890155977392099202688829827679179470234901109367469930721224606818836797262254070566378807649746387837723217711047364670780890239750257638730065195504642045590471164801864785024697420254709534408724224910012746006125684370865400290312385714889867572516812027571538609939503763036542077148656395089952472090050830575	1044	36	-7875	0	7875
58578827157550159503148875197094274608787378414987885171270789987686608833430299237981444336199374391391404773505702527402598711045379357362641002763568325473176003135358457153375168836409167989730361492955765919812986640283801997614662055035571495145972289545440264857243071453287039464430038485229464840602269189561465730616068599208630091469200710881874281388147252600845821121084299563241313	1036	44	-8120	0	8120
251594146879714574545608027990705463673584984509949283046811401757198227636727846722624024478820741946685987437705279624698705289351658311786039919058171578168774658718358034710763606170855750590461966470502749000228136056103845738294443536469931688321773729719908643483437100614459026200388370574081930545968599112554919894820760565693597723821705644497601357745593931952883743653323122683188527174058900	1024	36	-8326	0	8326
1080588632713394543487940540655132558446563527546898757304702207627083320288909470126170968440438531307471691626411013274616093071307589492487612801705334049791594727588909033901562507690849237119566835522657855634076540900004438625803609807656939888696083293858950863869085864812163022262675194114410636919478557831358003952154926411500461780394265878055800181962522225833685091881070373644890493214990275959310823	1020	36	-8709	0	8709
4641092837933385305425554392506352753072798914400325268846737088777324624507959445696593303156331615863863035981232351868697986696558292826827534668435342772610134970680393232926166253831945951895088800256026556945848086326325470152665685842631407209387557830416151597188671814784117363638709880191845367883690591258927310242344157662681121635691305932178385844639882057628803804791952376279304985859693132203255015172717970	1068	30	-10017	0	10017
19933341956623718113369727478483932546687234844533700481459143432608857888637165910961156175669057865466126527762664221053222338962760943448815652833236000698910494257218207803837594442867042543428995620115510488989899173755752678157523247915512096546778185070946085180103510986174753377053998495056054060949539821239996265532113991537883217101892185330236961240797630334812899649181803540109101075877124447408784714914807474785389232	1076	40	-10519	0	10519
85613051803683519874845799876521033949491666797943887937726475403228224591608237597704213700847034451308581232538678879252904621261684813978768678851638364851653715665948014453214451427425288200268195886523357292556585025618379244550975886156824625760806839045948875627774849580397273895312480362298969878586264238475470127622561631399229162519894835711338708459645403242318934272165719363065613392850664016142802293663781530339591373403575776	1024	34	-9988	0	9988
367705257607574530196628723512618679069172424721698038735624096450213637445100336526337202526533140466955660797912996841437158261326202533898655114016913613056768600302129582912691390955372130303526599761539546711653636914474261031871627635928180894850104492275486262109264448199125614067921630856716307003017095619066489096363848438604095972632417268739492649213055542682492185900525327756680759824473202161217351917079729692497376722772082168324935811	1056	30	-11068	0	11068
1579282055991787809077084816940923469920815285964714977956846684403217265039906940819212527519588410565748731809105586487323892371572261470967055093085795158936019729737342277764129947494073495163497299441893751737216712627125300165655854366601331548153213616505898118256574783630730608217640927220581000527854199012795444718423321560505256094101543198661764072002473692052836050218308591934624908958543103710825046031580342853796369590097751374780366413262567045	1060	42	-11538	0	11538
6782964781644369484557571231779413067348741362875338640286017408797851430528964445701925254170132222760511660873583408973955636295326743118564355118233725929785326895632643752955086126381242815547635074087252716018088966798133406705675276895491513669371101680194718209019929232672264102880956632683511575386092521816231920603404094786061760160270826541383507654918413738467305939737449062795023354003920050244329813883332155753522716832998767597820712927859546120672949178	1064	43	-12670	0	12670
29132611907082348038715145469683015010337889580312047984953552856873434569188718275036536730897205516752184423678683531871332373643298959328426955704144066152655171317411410148960798269670760720612052973347287465784867456816412815645942411861880461055485838603926965619676288266561749008148488118569966934720705954430882620942889173378619376524558918498130955971640240554914176176398890551170475657003067271598073360066678368466558305590798400440944442896561157869693986234563536337	1076	41	-12906	0	12906
125123615387978875605171291652171108956078337657099411570158209599278770285861394243439458464306250432241412236260553781721146224744021399866427897874139415798114504373559241967029116954289305982470160623946159315856724698721185319234599774046139049294713318195000614509026032211551242354558193981102578272426798968313107149364473683413644047804890695774601893023410736660929278764415561967960607467592287303201674738095215971914505592189653088422968361593669683914228700405324573404509141237	1048	43	-13339	0	13339
537401836048651622263062906124152720362409160651287234914673519774815583564871259464535136660145728934862729531593303827341445626909437883950446589711456714997447534747685911366940767598431696117246489175715708726410366802682943968467925781177156811789325567343169390016169905161255139340997479677659615701353280122871335494664201654514258825507066127206600517955239676333959493262032127205852208889602253829087229092548317933429656026463673044362045328287513733038269537305450987037518140547835112770	1036	40	-12972	0	12972
2308123310639312582517200690593954049665980612768088734260792117950042215842277153850508883798216572369316337587486638711023139592938253265310611387405436667433629885217134601000965252404400595713383852580516966373394336892887329401570196455111140888898780553635558139107718653847012429781507167233972671257240441070059247565426728608087832421232219633261725059954415201695981197749160344850447096990202154643820422483754782823890677750190786257571741868664455168550242379159963951857060338659683332950896659237	1072	33	-14360	0	14360
